CSA2010,Teen Birth Rate per 1000 Females (aged 15-19) (2010),Teen Birth Rate per 1000 Females (aged 15-19) (2011),Teen Birth Rate per 1000 Females (aged 15-19) (2012),Percent of Births Delivered at Term (37-42 Weeks) (2010),Percent of Births Delivered at Term (37-42 Weeks) (2011),Percent of Births Delivered at Term (37-42 Weeks) (2012),Percent of Babies Born with a Satisfactory Birth Weight (2010),Percent of Babies Born with a Satisfactory Birth Weight (2011),Percent of Babies Born with a Satisfactory Birth Weight (2012),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2010),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2011),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2012),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2010),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2011),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2012),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2010),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2011),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2012),Percent of Families Receiving TANF (2011),Percent of Families Receiving TANF (2012),Liquor Outlet density (per 1000 Residents) (2011),Liquor Outlet density (per 1000 Residents) (2012),Fast Food Outlet Density (per 1000 Residents) (2011),Average Healthy Food Availability Index (2012),Life Expectancy (2011),Life Expectancy (2012),Mortality by Age (Less than 1 year old) (2011),Mortality by Age (Less than 1 year old) (2012),Mortality by Age (1-14 years old) (2011),Mortality by Age (1-14 years old) (2012),Mortality by Age (15-24 years old) (2011),Mortality by Age (15-24 years old) (2012),Mortality by Age (25-44 years old) (2011),Mortality by Age (25-44 years old) (2012),Mortality by Age (45-64 years old) (2011),Mortality by Age (45-64 years old) (2012),Mortality by Age (65-84 years old) (2011),Mortality by Age (65-84 years old) (2012),Mortality by Age (85 and over) (2011),Mortality by Age (85 and over) (2012)
Midtown,8.0,4.8,4.8,89.3,86.3,93.4,90.2,90.4,91.7,67.9,58.9,66.1,0.0,65.0,116.0,0.0,0.0,0.0,5.3,6.9,1.9,1.9,2.1,13.0,74.8,76.0,11.5,7.6,2.9,2.9,4.0,2.9,17.0,14.9,113.2,109.7,362.6,355.4,1058.8,983.2
Midway/Coldstream,53.7,79.4,65.4,85.7,81.8,80.9,79.4,85.5,84.2,45.2,53.3,51.4,114.0,328.0,114.0,6.1,5.5,6.1,15.4,18.5,1.5,1.6,2.1,8.0,66.1,67.9,10.6,15.4,12.6,8.4,36.4,29.9,59.8,41.6,155.1,145.7,448.8,422.9,1657.1,1866.7
Morrell Park/Violetville,78.8,14.8,39.4,87.5,86.1,88.0,92.5,92.2,93.2,61.7,65.2,58.1,65.0,119.0,108.0,0.0,0.0,0.0,3.3,4.1,1.2,1.2,1.1,10.4,72.2,72.7,11.3,11.6,2.8,0.0,21.4,21.4,25.6,20.2,135.8,130.7,458.3,488.6,907.8,912.6
Mount Washington/Coldspring,10.9,10.9,0.0,89.6,90.9,95.3,92.5,92.7,96.9,64.2,70.9,70.3,90.0,122.0,112.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.2,24.8,81.1,81.7,3.2,3.1,0.0,0.0,0.0,0.0,5.3,6.6,52.8,46.3,283.7,257.9,1562.0,1532.8
North Baltimore/Guilford/Homeland,3.1,1.6,0.0,91.5,92.2,92.6,90.7,89.4,94.1,63.6,69.5,75.7,239.0,107.0,46.0,0.0,0.0,0.0,0.8,0.7,0.1,0.3,1.0,7.5,82.2,83.2,4.1,0.0,0.0,0.0,1.5,1.5,9.4,7.2,54.7,53.2,219.2,209.9,1272.1,1236.7
Northwood,15.6,13.4,18.6,85.9,85.7,88.1,84.0,86.3,91.4,58.3,55.9,57.6,170.0,254.0,327.0,0.0,0.0,0.0,5.7,6.6,0.1,0.1,0.4,8.9,75.9,76.2,12.6,13.1,0.0,0.0,5.5,5.1,30.0,25.9,90.9,89.9,283.2,284.3,1297.6,1365.9
Oldtown/Middle East,74.2,47.5,38.6,87.8,90.7,84.6,87.2,87.9,79.7,53.8,63.6,67.8,171.0,188.0,274.0,0.0,0.0,0.0,19.9,24.7,0.7,0.4,3.1,8.4,75.0,74.0,10.0,10.0,5.1,5.1,4.9,6.1,32.5,28.1,107.1,121.3,296.4,335.5,1155.2,1206.9
Orangeville/East Highlandtown,106.1,111.1,45.5,87.6,92.9,88.4,91.0,93.4,91.0,40.4,45.1,58.3,0.0,96.0,0.0,0.0,0.0,0.0,4.3,6.6,3.2,2.8,1.9,8.6,72.3,72.9,3.1,4.1,0.0,0.0,9.9,8.2,24.2,19.7,145.9,150.8,409.1,383.1,1642.1,1578.9
Patterson Park North & East,87.1,82.1,104.5,89.6,87.8,88.9,91.9,88.8,88.9,50.8,56.6,70.6,410.0,217.0,171.0,3.4,2.3,0.0,9.5,11.3,1.4,1.4,0.8,12.7,71.4,71.7,7.9,7.7,4.0,2.4,19.6,16.8,22.0,19.7,126.5,137.6,444.7,421.9,1655.7,1590.2
Penn North/Reservoir Hill,47.1,61.8,79.4,79.3,82.9,86.0,84.3,87.1,84.9,54.3,62.1,61.6,88.0,70.0,0.0,0.0,0.0,0.0,18.8,23.1,1.0,0.7,0.3,7.0,69.2,69.9,12.8,12.6,0.0,0.0,25.0,23.5,50.0,50.0,137.7,130.7,477.5,444.2,1280.7,1368.4
